NAME,OPERATIONAL_STATUS,ATTRIBUTE_SOURCE,CUSTODIAN_AGENCY,CUSTODIAN_LICENSING,CLASS,VOLTAGE,ADDRESS,LATITUDE,LONGITUDE
Keswick,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,66,Adelaide South Australia,-34.944567,138.5787102
City West,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,275,Keswick Terminal South Australia,-34.939635,138.5798455
Mornington,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,110,Mornington Tasmania,-42.86050279,147.4066829
West Wetherill,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Wetherill Park New South Wales,-33.84197789,150.8813749
Clare North,Operational,AEMO-Australian Energy Market Operators 2016,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,132,Clare South Australia,-33.82334238,138.6266446
Munyang,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Kosciuszko National Park New South Wales,-36.35104851,148.411784
Blowering,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Switchyard,132,Wereboldera New South Wales,-35.39828527,148.2454032
Warragamba Dam,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Switchyard,132,Warragamba New South Wales,-33.88248966,150.5973502
Capital Hill Wind Farm,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Switchyard,330,Lake George New South Wales,-35.18739877,149.5230093
Uranquinty,Operational,AEMO-Australian Energy Market Operators 2013,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,132,Uranquinty New South Wales,-35.17730022,147.2154018
Loy Yang,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,66,Loy Yang Victoria,-38.25487506,146.571266
Loy Yang ,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Switchyard,500,Loy Yang Victoria,-38.25649684,146.5738617
Mortlake,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Substation,500,Mortlake Victoria,-38.06221891,142.6703807
Red Hill,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Zone,132,Koolunga South Australia,-33.49521627,138.2674306
Mokota,Operational,AEMO-Australian Energy Market Operators 2012,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,Switchyard,275,Ayers South Australia,-33.55677562,138.8482522
